Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Anybody seen my slippers ?,Anybody Seen My Slippers ?,≤100,5
Farmer's Footprint,Farmer's Footprint,≤100,3
The Honor Role,The Honor Role,≤100,1
Pi Yoga Pants,PI Yoga Pants,≤100,2
OUTCentralOregon,Drag of Bend,≤100,2
Shareable,Shareable,≤100,1
Jamal Simmons,Jamal Simmons,≤100,1
State Representative David Leland,Friends of David Leland,≤100,1
Food for the Hungry,These ads ran without a disclaimer,≤100,2
Savannah Riverkeeper,Savannah Riverkeeper,≤100,3
Meyerland Democrats,Meyerland Area Democrats PAC,≤100,1
"City of Aurora, IL, Government",City of Aurora,≤100,1
Graig Meyer,Committee to Elect Graig Meyer,≤100,2
Washington Community Action Network,Washington Community Action Network,≤100,1
City of Las Vegas Government,These ads ran without a disclaimer,≤100,1
Luxury Homes Hawaii,These ads ran without a disclaimer,≤100,1
"The Law Offices of Barry Feinstein & Affiliates, P.C.",The Law Offices of Barry Feinstein & Affiliates PC,≤100,1
Wildlife Leadership Academy,These ads ran without a disclaimer,≤100,2
Permian Basin Mission Center,These ads ran without a disclaimer,≤100,2
Lake and Main,Lake and Main,≤100,1
Lupe Maldonado-Thrasher: Allstate Insurance,These ads ran without a disclaimer,≤100,1
Point Of The Mountain Politics,Point of the Mountain Politics,≤100,3
Bryan/College Station Tea Party,BCS Tea Party,≤100,1
Sunny Gettinger for Jacksonville City Council - District 14,"Sunny Gettinger, Democrat, for Jacksonville City Council, District 14.",≤100,1
VA Our Way,B&D Consulting,≤100,2
Dave Doherty-Realtor,These ads ran without a disclaimer,≤100,1
Linder Village Development,These ads ran without a disclaimer,≤100,1
Raychel Proudie for MO House 73,"Friends of Raychel Proudie; Sarah Willey, Treasurer",≤100,1
New Hanover Regional Medical Center,These ads ran without a disclaimer,≤100,1
The Nature Conservancy in Indiana,The Nature Conservancy,≤100,1
Midwest Grain,AgFax Media LLC,≤100,1
The Conservation Alliance,These ads ran without a disclaimer,≤100,1
Our Lives Magazine,Our Lives magazine,≤100,1
Political Window,omyk.co,≤100,4
Center for a Sustainable Coast,Center for a Sustainable Coast,≤100,1
"John Bermingham Chairman, UMBT Supervisors - The Voice For The People",John Bermingham,≤100,1
Matthew Guerra - Senior Investment Advisor,Matthew William Guerra,≤100,1
Ours To Change Mississippi,These ads ran without a disclaimer,≤100,1
your NEWS,yourNEWS Media Group Inc.,≤100,4
Cameron Smith,Cameron Smith,≤100,1
American Solidarity Party,American Solidarity Party,≤100,3
Sierra for District 21 Senate,Sierra Heitkamp for Senate,≤100,1
Moderate Party .net,Pete Burkindine,≤100,1
Paige Forte for ANC 6E07,Paige Forte,≤100,2
"Harvest Rock Advisors, LLC",Harvest Rock Advisors,≤100,1
Liberty Verses Politics,Liberty Verses Politics,≤100,1
VIP Salon and Spa Riverview,These ads ran without a disclaimer,≤100,1
Gerald R. Ford School of Public Policy,the University of Michigan - Gerald R. Ford School of Public Policy,≤100,2
VibrantUSA,These ads ran without a disclaimer,≤100,1
Avaaz,Avaaz,≤100,1
Get MAD with Mad Hildebrandt,Get MAD with Mad Hildebrandt,≤100,1
Elect Mike Reid,Elect Mike Reid,≤100,1
Michael Cabonargi,Friends of Cabonargi,≤100,1
Rose Grant for Auditor,Rose Grant for Auditor,≤100,1
Diana Dorsam Vertin For Springs Valley School Board,Diana Vertin For School Board,≤100,1
Tiffany Zulkosky for State House,"Elect Tiffany Zulkosky, P.O. Box 1237, Bethel, AK 99559",≤100,1
The Washington Blade,Washington Blade,≤100,2
County Line Environmental Action Network,County Line Environmental Action Network,≤100,1
Clint Erickson Holmes County Commissioner District 5,Clint Erickson "Holmes County Commissioner District 5 Rep",≤100,1
Left Wing Gazette,Left Wing Gazette,≤100,6
Crowned Free,Crowned Free,≤100,2
Dr. Diane Summers for SC State House District 87,Dr. Diane Summers For SC State House District 87,≤100,1
"Stephen P. Riexinger, PC","Stephen P Riexinger, PC",≤100,1
Animal Media Group,These ads ran without a disclaimer,≤100,1
Global Trade Watch,Global Trade Watch,≤100,1
Tournament City Games,Tournament City Games,≤100,1
Seven Seas Roasting Co.,These ads ran without a disclaimer,≤100,1
"A Rush to Judgement - A Journey with Trump, God and Love",Sid Bowdidge,≤100,1
Tennessee Riverkeeper,Tennessee Riverkeeper,≤100,1
Dobson Ranch Democrats and Friends,Dobson Ranch Democrats,≤100,2
Gun Violence Solution,Bronco Street LLC,≤100,5
Koreatown Youth and Community Center,Koreatown Youth and Community Center,≤100,2
Marion Medical Mission,These ads ran without a disclaimer,≤100,1
BigBridge,Big Bridge,≤100,2
Anchorage Fire Fighters Union Local 1264,Anchorage Firefighters Local 1264 PAC,≤100,1
Mark Grimm  - Albany County Legislator,Mark Grimm,≤100,1
Alaska Afterschool Network,Alaska Children's Trust,≤100,2
Women Elevated; a veteran outreach program,"Friends and Supporters of Women Elevated, INC.",≤100,1
Shell,These ads ran without a disclaimer,≤100,1
Factory Direct Promos,SBS Brands,≤100,6
GRAM,Gateway Accountability Project (non-profit),≤100,2
Jose Andrew Sandoval for Salinas City Council,SANDOVAL FOR CITY COUNCIL DISTRICT 5 2018,≤100,3
Metal Wall Art HQ,Metal Wall Art HQ,≤100,1
Citizens For The Preservation of Gig Harbor,Jeni Woock,≤100,1
Don't Slack,Next Level Digital,≤100,3
Gene Ho Photography,"Gene Ho Photography, Inc.",≤100,1
Christians for Trump,"Liberty T, LLC",≤100,1
Fix Democracy First,Fix Democracy First,≤100,1
Reading Trump's Tweets,Mike Kaminski,≤100,2
Drew McKissick,Drew McKissick,≤100,6
Indiana Republican Party,The Indiana Republican State Committee,≤100,2
Climate Ride,These ads ran without a disclaimer,≤100,2
Cathy Roes for PCSD6 Trustee,Cathy Roes for PCSD6,≤100,1
Oxford County Wellness Collaborative,These ads ran without a disclaimer,≤100,1
Government Executive Media Group Events,Government Executive Media Group,≤100,2
Roger Salloom | Singer Songwriter,Roger Salloom,≤100,1
BloodStream Media,Believe LTD,≤100,1
Maple Heights African American Gazette,Maple Heights African American Gazette,≤100,13
Paul Padgett Real Estate,These ads ran without a disclaimer,≤100,1
Wealth Financial Services & Tax Advisory,These ads ran without a disclaimer,≤100,6
Responsible STR NOLA,These ads ran without a disclaimer,≤100,1
Dom Pascual - Democratic Committeeman,Dom Pascual,≤100,1
Sroane,Spencer Roane,≤100,2
Bees In The D,Bees in the D,≤100,1
The Enlisted Association of West Virginia Chapter 102,These ads ran without a disclaimer,≤100,1
Keep Natick Beautiful,Keep Natick Beautiful Inc.,≤100,2
"P'nai Or of Portland, Oregon",Joel Glick,≤100,3
"Center for Community Health & Prevention, URMC",Center for Community Health & Prevention,≤100,1
Nomonitors the truth,LDINC and NoMonitors,≤100,2
Judge Susan Weaver,Judge Susan Weaver,≤100,1
HughesNet,These ads ran without a disclaimer,≤100,1
"Michael Hutchison for Williamsport, IN",Michael D Hutchison for Williamsport,≤100,2
Lynn Stoner for Mayor,and Approved by Lynn Stoner for Mayor of the City of Plantation. Non-Partisan.,≤100,1
Highlands County Republican Party,Highlands County Republican Executive Committee,≤100,2
StorEn Technologies,These ads ran without a disclaimer,≤100,12
Sierra Club Northeast Florida Group,Sierra Club Florida PAC 1990 Central Ave St Petersburg FL 33712 independently of any candidate or committee.,≤100,1
Bee Seasonal,These ads ran without a disclaimer,≤100,1
Progressive Conservatives USA,These ads ran without a disclaimer,≤100,1
Get Clean Now Clermont,Get Clean Now Clermont County,≤100,2
Elect John Paul Elliott,John Paul Elliott,≤100,1
Kershaw County Republican Party,Vic Dabney--Chairman KCGOP,≤100,2
Medical Advocacy & Outreach,"Medical Advocacy & Outreach (MAO). Questions? Contact Thomas Stephens, MAO Media Relations.",≤100,1
Ed100,Ed100,≤100,1
League of Women Voters of the Calumet Area,League of Women Voters of the Calumet Area,≤100,1
Parliament 2050,Parliament 2050,≤100,2
Access Fund,Access Fund,≤100,2
GaryNoi.com,These ads ran without a disclaimer,≤100,1
Susan Kaiser Greenland,Susan Kaiser Greenland,≤100,3
Words Are Our Actions,These ads ran without a disclaimer,≤100,1
0censor,0censor,≤100,1
Shen Yun,These ads ran without a disclaimer,≤100,3
Immigration360,Richard Loiseau,≤100,1
Chesterfield Township Democrats,Chesterfield Township Democrats,≤100,1
International Socialist Organization - Northern California,International Socialist Organization - Bay Area District,≤100,1
Mona Foundation,Mona Foundation,≤100,5
Los Angeles Property Management Group,These ads ran without a disclaimer,≤100,1
Mental Health First Aid DFW,These ads ran without a disclaimer,≤100,1
Cape Cod & Islands Association of REALTORS,CCIAOR,≤100,1
American Heart Association - Indiana,American Heart Association,≤100,1
Grapefruit Sound Lab,Robert Cotnoir,≤100,1
Metrosource,Metrosource Magazine - A Davler Media Publication,≤100,1
Charlotte Business Resources,These ads ran without a disclaimer,≤100,1
Princess For President 2020,Princess,≤100,4
Beyond Resistance,"Bliss Publishers, LLC",≤100,1
Senator Carol Blood,Friends of Carol Blood,≤100,1
Segurosdesaludflorida,Yei Arreaza,≤100,1
Vagarchy,Activists of VagArchy,≤100,4
"New Albany, Ohio Government",City of New Albany,≤100,1
East Wind ezine,Eddie Wong for East Wind ezine,≤100,1
Robelyn Garcia Scholars,Dr Robelyn Garcia,≤100,3
Brandon Lofton,Lofton for NC,≤100,1
Reaves Buildings,Reaves Buildings,≤100,1
Teach the World Foundation,These ads ran without a disclaimer,≤100,1
Liyah Babayan The People First,Babayan,≤100,2
Wells of Life,Wells of Life,≤100,1
California National Party,"the California National Party, California Statewide Committee, FPPC ID# 1387186",≤100,2
NM SAFE,ACLU of New Mexico,≤100,1
Jeni Woock Gig Harbor City Council,Jeni Woock,≤100,1
SMEGMA 2020,Inndajon,≤100,1
Tamarac Talk,Talk Media,≤100,1
Waterstep,These ads ran without a disclaimer,≤100,1
Black Kids in Outer Space,Lark Lo,≤100,2
GOE Digital,GOE DIGITAL,≤100,4
Davidson County Mental Health Court Foundation,Davidson County Mental Health Court Foundation,≤100,1
Charles Rhodes for Mason County Auditor,Charles Rhodes for Mason County Auditor,≤100,1
Karen McCallum For District Court Judge - District 26-F,The Committee to Elect Karen D. McCallum for District Court Judge,≤100,1
The Betty Bargoil Team,These ads ran without a disclaimer,≤100,1
Crossroads Church,Crossroads Church,≤100,1
Saginaw Conservatives,Saginaw Conservatives,≤100,2
Daftboy,"Daft Boy, LLC",≤100,1
Muslim Legal Fund of America,Muslim Legal Fund of America,≤100,3
AARP Virgin Islands,AARP Virgin Islands,≤100,1
SHINE CLOTH,These ads ran without a disclaimer,≤100,1
Dorothy Gibbons,Dorothy Gibbons,≤100,1
C-Farar,Carroll D McHenry,≤100,2
The Catholic Pro-Life Committee,"The Catholic Pro-Life Committee, Inc.",≤100,2
Ashley McCarter House District 64,Ashley McCarter for House District 64 2018,≤100,1
Overworked Moms,Overworked Moms,≤100,2
"Mayor Steven B. Grant, Boynton Beach, Florida","Steven B. Grant Campaign for Mayor of Boynton Beach, Florida",≤100,2
Affordable Solar Systems,Affordable Solar Systems,≤100,1
ANCA Western Region,Armenian National Committee of America-Western Region,≤100,1
JoBeth for Ward 6,Friends of JoBeth Hamon 2019,≤100,2
Paramount Communications,Paramount Communications,≤100,1
YWCA ATX,YWCA Greater Austin,≤100,1
Director Marc Coviello,Marc Coviello,≤100,1
Oak Ridge Councilman George McClellan,Committee to Elect George McClellan,≤100,3
American Liver Foundation,American Liver Foundation,≤100,1
Herd Strategies,"Hed Strategies, LLC.",≤100,2
CAIR Sacramento Valley,CAIR Sacramento Valley,≤100,2
Status Coup,"Status Coup, LLC",≤100,2
Representative Rebecca Dow,Committee to Elect Rebecca Dow,≤100,1
AJC Atlanta Regional Office,American Jewish Committee (AJC),≤100,1
Majestic Madison,Majestic Theatre,≤100,1
Tompkins County Republicans,Tompkins County Republican Committee,≤100,1
Mohmoud Kudun Hiima,These ads ran without a disclaimer,≤100,1
Vision Care Direct of Oklahoma,These ads ran without a disclaimer,≤100,1
Compassion and Hope Pregnancy Center,These ads ran without a disclaimer,≤100,1
Sign and Shine,These ads ran without a disclaimer,≤100,1
Strategic Financial Concepts Inc,Shawn Wyatt,≤100,1
Commissioner Beverly Nicholson-Doty,U.S. Virgin Islands Department of Tourism,≤100,1
Project Hope In Motion,Project Hope in Motion,≤100,1
Health Care Workers Rising MA,These ads ran without a disclaimer,≤100,1
Justin Hanson for Congress,Justin Hanson for Congress,≤100,1
Elect Patrick O'Brien Boling PhD,Patrick O'Brien Boling,≤100,1
Waterville Mayor Nick Isgro,Nick Isgro,≤100,2
Osborne for Mayor of Searcy,Kyle Osborne for Mayor,≤100,1
State Farm,These ads ran without a disclaimer,≤100,1
Sierra Club - Southern Nevada Group,Sierra Club Nevada PAC,≤100,1
Three Percent of Washington,Washington III %,≤100,1
Just Stole Christmas,These ads ran without a disclaimer,≤100,2
Jingle Bells,These ads ran without a disclaimer,≤100,6
National Civil Rights Museum,the National Civil Rights Museum,≤100,1
The Blood Throne of Caria,"Sekhmet Liminal Press, LLC",≤100,4
Charles Kyle,Friends For Charles Kyle,≤100,1
Minus 45,Human Agency PAC,≤100,6
comfort,These ads ran without a disclaimer,≤100,1
Poulin Solar Pro,These ads ran without a disclaimer,≤100,1
C4 - Chris for Carbon County Commissioner,C4 - Chris 4 Carbon County Commissioner,≤100,2
Homeless Prevention Council of Lower Cape Cod,Homeless Prevention Council,≤100,1
ECR Music Group,ECR Music Group,≤100,1
IV WORDS,Martin C. Fredricks IV for the IV Words Blog,≤100,2
Bridgehaven Pregnancy Support Center,Bridgehaven Pregnancy Support Center,≤100,2
Hospital Workers Rising,Hospital Workers Rising,≤100,1
Palm Beach Indivisibles,Laura Cain,≤100,1
Clean Energy FL,These ads ran without a disclaimer,≤100,1
Re-Elect Juan Carrillo for Palmdale City Council District 4,Juan Carrillo for City of Palmdale City Council D4,≤100,2
The Fund for Global Human Rights,The Fund for Global Human Rights,≤100,2
The Fortune Society,The Fortune Society,≤100,14
LALC Lifting Away Life's Challenges,LALC Lifting Away Life's Challenges,≤100,5
Harrison County Republican Club,Harrison County (MS) Republican Club,≤100,1
Galapagos Conservancy,"Galapagos Conservancy, Inc.",≤100,1
Perissodactyla Conservation Symposium & Fundraiser,These ads ran without a disclaimer,≤100,1
THE TRUMP NETWORK,"THE TRUMP NETWORK, LLC.",≤100,4
Chocorua Lake Conservancy,"Chocorua Lake Conservancy (Chocorua, NH)",≤100,1
Friends and Families of Kartini Clinic,Kartini Clinic for Children and Families,≤100,1
"NYU Steinhardt School of Culture, Education, and Human Development",These ads ran without a disclaimer,≤100,1
Khalif Rhodes 4 District Court Judge,The Committee to Elect Khalif Rhodes,≤100,1
Iowa Soybean Association,the Iowa Soybean Association,≤100,4
District Leader Cory Provost,Committee to Elect Cory Provost,≤100,1
Friends of the Free Library of Philadelphia,Friends of the Free Library,≤100,1
Water - Use It Wisely,These ads ran without a disclaimer,≤100,2
Larry M Levine You are entitled to my opinion,LML investments Larry Levine President,≤100,1
JA Moore For SC District 15,JA Moore for SC,≤100,1
Friends of Huachuca City,jim goad,≤100,1
NoticiasCristianas.com,El Misionero International Inc.,≤100,1
Lucia Capital Group - Financial Planning and Wealth Education,Lucia Capital Group,≤100,1
Print More Spend Less,"Print More, Spend Less",≤100,1
Online University of the Left,"Carl Davidson, 15001",≤100,2
Democrats of Jefferson County WV,Jefferson County Democratic Party,≤100,1
"Akshaya Patra, Food for Education - WNY Chapter",These ads ran without a disclaimer,≤100,1
Williamson County Republican Party,Williamson County GOP,≤100,1
Hope Humanitarian,These ads ran without a disclaimer,≤100,1
