Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Planned Parenthood of New York City Action Fund,Planned Parenthood of New York City Action Fund,257,3
Southern Utah Wilderness Alliance,Southern Utah Wilderness Alliance,257,2
PredictIt,"PredictIt is a political prediction market, a stock market for politics. A project of Victoria University of Wellington, PredictIt has been established to research the way markets can forecast future events. Our job is to study the wisdom of the crowd, yours is to use your skill and knowledge to get ahead.",257,4
Just Facts,"Just Facts, a nonprofit institute dedicated to publishing rigorously documented facts about public policy issues.",257,5
Flourish PAC,FlourishPAC,257,5
Beesponsible,Beesponsible,256,7
Americans for Prosperity-New Jersey,Americans for Prosperity,256,3
Pep Solar,Pep Solar,255,91
Conservative Louisiana,Conservative Louisiana PAC,255,1
Topic,Topic,254,10
Melinda Katz,Katz New York State,254,7
AARP NH,AARP New Hampshire,253,5
Planet Love Life,Planet Love Life,253,5
Juma Ventures,Juma Ventures,253,10
Moms Demand Action - OH,Everytown For Gun Safety Action Fund,252,4
Southern Alliance for Clean Energy,Southern Alliance for Clean Energy.,251,3
Hunter Nation,Hunter Nation,251,6
YMCA of Greater Seattle,YMCA of Greater Seattle,251,31
Rising Tide Interactive,Rising Tide Interactive,251,2
Teach For America,Teach For America,251,4
BioSpace,BioSpace,251,39
Planned Parenthood Advocates of Michigan,"WITH REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC,  P.O. BOX 15041, LANSING, MI 48901 AND BY MICHIGAN PLANNED PARENTHOOD VOTES, 115 W. ALLEGAN, SUITE 500, LANSING, MI 48933. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE. CONTACT US AT: MI PLANNED PARENTHOOD VOTES, 115 W. ALLEGAN, SUITE 500, LANSING, MI 48933",250,1
Arizona Center for Economic Progress,Arizona Center For Economic Progress,250,4
Free Press,Free Press,249,3
Boulder County Public Health,Boulder County Public Health,249,1
Laguna Canyon Foundation,Laguna Canyon Foundation,248,4
3M,3M,248,1
PhRMA,PhRMA,247,1
National LGBTQ Task Force,The National LGBTQ Task Force,247,4
"Larry Sharpe, Libertarian",Larry Sharpe for Governor,246,5
PushBlack,PushBlack Now,246,4
Onondaga County Save the Rain,Onondaga County Save the Rain,246,4
End Slavery Tennessee,End Slavery Tennessee,246,18
Voice Big,Voice Big,245,21
Sweeney Julian Personal Injury Trial Attorneys,Sweeney Julian Personal Injury Trial Attorneys.  Not intended to be legal advice.,245,2
Climate News Hub,Climate News Hub,245,1
Trump 2020,Sal Peer,245,1
Independentwomensforum,Independent Women's Forum,245,1
My West Michigan,13 On Your Side,244,3
Mississippi Democratic Party,Mississippi Democratic Party,244,5
TeacherFreedom,Teacher Freedom,244,3
Jim Craig for Mayor,Jim Craig for Mayor,243,3
Armadillo Hat Company,Armadillo Hat Co,243,9
Neverthirst,Neverthirst,242,2
Democrats,DCCC,242,15
The Carter Center,The Carter Center,242,1
Phoenix Dream Center,City Help Inc of Phoenix dba Phoenix Dream Center,242,11
Arbor Day Foundation,the Arbor Day Foundation,241,4
5 Towns Jewish Times,The Five Towns Jewish Times,240,22
Christians United for Israel (CUFI),Christians United for Israel,240,5
Alliance for Michigan Power,the Alliance for Michigan Power,240,45
OwlFactor,OwlFactor,237,32
Advance Natchitoches,Advance Natchitoches,237,6
LAW Publications,LAW Publications,236,4
Michigan Advance,the Michigan Advance,236,3
Family Policy Alliance,Family Policy Alliance,236,25
Texas Central,"Texas Central Partners, LLC",235,59
Missouri Health Matters,Missouri Health Matters,235,1
Parker Griffith,"Parker Griffith 101 Lowe Ave. Suite 3A Huntsville, Al. 35801",235,3
Disability Voters,"Maureen Graves, Disability Voters",235,1
Teton Waters Ranch,Teton Waters Ranch Commitment to 100% Grass-Fed Beef,235,5
coastalteesfashion,Coastal Tees,235,2
David Karaffa for President,David Karaffa for President,234,2
Deadline Detroit,Deadline Detroit,234,10
People's Action,Djuan Wash,234,1
NEAVS,NEAVS (New England Anti-Vivisection Society),232,6
Santa Clara Valley Water District,Santa Clara Valley Water District,231,1
The Identity Tampa Bay,The Identity Tampa Bay,230,3
Santa Clara Valley Water District,PRxDigital,230,4
Job Creators Network,Job Creators Network,230,2
AARP Public Policy Institute,AARP Public Policy Institute,229,3
Water For Colorado,Water for Colorado,228,7
Modern Medicaid Alliance,Modern Medicaid Alliance,228,2
AAA Carolinas,AAA Carolinas,228,1
AARP Virginia,AARP Virginia,228,2
Cook Inletkeeper,"Cook Inletkeeper • Homer, AK",228,1
Greater Baton Rouge Industry Alliance (GBRIA),the Greater Baton Rouge Industry Alliance,227,3
Experience Magazine,Experience Magazine,227,1
Vote Yes for Mental Health BR,Baton Rouge Area Foundation,227,2
SOS International,SOS International,227,18
IOOGO,IOOGO INC.,227,4
Saint Paul Public Library,Saint Paul Public Library,226,1
EFB Advocacy,EFB Advocacy,226,1
5050by2020,5050by2020,225,5
NextTribe,NextTribe,225,3
John Cornyn,"Texans for Senator John Cornyn, Inc.",225,2
Created Equal,Created Equal,225,2
The Trucker,The Trucker,225,2
Center for Animal Law Studies,Center for Animal Law Studies,224,2
Grow.Wild.NCo,Grow Wild And Co,224,3
Truth & Liberty Coalition,Truth & Liberty Coalition,224,5
Save the Children Action Network,Save the Children Action Network,224,5
Peter Franchot,"Friends of Peter Franchot; Tom Gentile, Treasurer",224,5
Convention of States Ohio,Convention of States Action,224,1
"City of Aurora, IL, Government",City of Aurora,224,2
David Rubin,David Rubin,224,24
LaunchGood,LaunchGood,223,8
Joe T. May,Joe May for State Senate. Authorized by Joe T. May.,223,3
Resign David Stringer,Resign David Stringer,222,1
BreakPoint,The Colson Center,222,2
14th District GOP of Georgia,14th Congressional District Republican Party of Georgia - not authorized by any candidate or candidate's committee,221,3
Lori Lightfoot,Lightfoot for Chicago,221,2
The Yerman Group,The Yerman Group,220,3
Nomiki Konst,Friends of Nomiki Konst,220,16
Duval County Democratic Party,Duval County Democratic Executive Committee,219,1
The Epoch Times Los Angeles,The Epoch Times Los Angeles,219,4
Student Borrower Protection Center,Student Borrower Protection Center,219,1
Montana Food Bank Network,Montana Food Bank Network,219,37
Local Marketplace from NJ Advance Media,NJ Speaker Series,219,2
The Nature Conservancy in Florida,The Nature Conservancy in Florida,218,3
Susana A. Mendoza,Susana Mendoza for Mayor,218,3
Muslim Advocates,Muslim Advocates,218,1
Dadrius Lanus,Dadrius Lanus for EBR School Board District 2,218,7
National Coalition for Public School Options,National Coalition for Public School Options,218,2
Oregon Health Insurance Marketplace,Oregon Health Insurance Marketplace,218,3
Agayindependent,AGayIndependent,217,4
Senator Justin Ready,Friends of Justin Ready,217,1
Glenn Kirschner,"Glenn Kirschner, former federal prosecutor",217,4
Nebraska Appleseed,"Nebraska Appleseed Center for Law in the Public Interest, a nonprofit, nonpartisan 501(c)(3) organization. Does not support or oppose political candidates.",216,13
The Committee to Elect Lucy Holtzclaw as Mayor of Sterlington,The Committee to Elect Lucy Holtzclaw as Mayor of Sterlington,216,2
Visit Houston,Houston First,216,7
Convention of States Nebraska,Convention of States Action,216,1
Newest Gadgets,These ads ran without a disclaimer,215,1
Ed Thicksten for Alma Mayor 2018,Ed Thicksten,215,17
Van Allen For Judge,Friends of Kevin Van Allen,215,6
Our Lives Magazine,Our Lives magazine,214,10
CheapCaribbean.com,CheapCaribbean,214,2
Relevant Seminars,Relevant Seminars,213,2
"Plea for a change, the Michael Bell shooting",The family of Michael E. Bell,213,3
TUNA - The Uptown Neighborhood Association,The Uptown Neighborhood Association,213,2
The Fighting Forces,The Fighting Forces,212,46
Pursuit,"Pursuit, a non-partisan, non-profit organization",210,12
Options United,Options United,210,4
2nd Amendment For Life,2A4LIFE LLC,210,3
River City Environmental,Jeshe Burch,210,1
Nautilus Offshore Wind,Nautilus Offshore Wind,210,8
United Bank,United Bank,210,1
Rich Meyer,Rich Meyer,210,3
Clean Energy Authority,"DigitalGreenMedia, LLC",210,1
Moms Demand Action for Gun Sense in America,Everytown for Gun Safety Action Fund,210,2
Boston Climate Action Network,Boston Climate Action Network,209,6
Borderwise,Borderwise,209,7
Jane Velez-Mitchell,Eastwind Enterprises,209,1
Stop Telemarketing Texts,Stop Telemarketing Calls,207,1
Cruthers For Commissioner,Cruthers For Commissioner,207,4
American Friends of Magen David Adom,American Friends of Magen David Adom,207,43
2Tree Bracelets,2Tree Bracelets,205,4
"Healthy Forests, Healthy Communities","Healthy Forests, Healthy Communities",205,3
Susana Martinez,New Mexico Legacy,204,1
LA Wallet,LA Wallet,204,3
The Alliance for Solar Choice,The Alliance for Solar Choice,204,4
Protect Our Defenders,Protect Our Defenders,203,11
Manhattan Institute for Policy Research,Manhattan Institute,203,26
Apron,Apron,203,1
UnitedVoice.com,"Beachside Media, Inc.",203,35
Patrick Kirton for City Council,Friends of Patrick Kirton for Council,203,4
AFSCME Council 25,AFSCME Council 25,202,3
No Quarry in Cross Hollows,No Rock Quarry in Cross Hollows,202,2
LevinTV on CRTV,CRTV,202,2
AARP Idaho,AARP Idaho,201,3
Better Care for Virginia,Better Care for Virginia,201,2
K&N Filters,K&N Engineering,201,1
Clean Energy Educators,Clean Energy Educators,201,2
Rompiendo Ahora,Editorial Rompiendo Ahora,201,3
Rio Grande del Norte Coalition,Wilderness NOW,201,3
Belinda Leon for City of Doral Council Seat 4 Campaign,and approved by Belinda Leon for the City of Doral Council Seat 4 as a political advertisement.,201,8
Heifer International,These ads ran without a disclaimer,200,1
Monterey Bay Aquarium,Monterey Bay Aquarium,200,4
Forest Park Forever,Forest Park Forever,200,2
Michigan Health & Hospital Association,the Michigan Health & Hospital Association,200,1
Education Reform Now Advocacy,Education Reform Now Advocacy Committee,200,1
Tyrone Glover For Mayor of the City of Opelousas,The Tyrone Glover Campaign,200,1
Nancy Pelosi,Nancy Pelosi for Congress,200,1
One Earth,One Earth,200,10
Colorado Clean Cars,Colorado Clean Cars,200,1
Rick Green,Rick Green,200,1
Sen. Jason Rapert,Jason Rapert for Senate,200,1
Christy's Cause,"Christy's Cause, Inc.",200,2
San Francisco Office of Early Care & Education,San Francisco Office of Early Care and Education (OECE),200,1
Citizens Clean Elections Commission,Citizens Clean Elections Commission,200,2
Jay Ruderman,Jay Ruderman,200,1
"Elect Charles W. Cummings - City Council / District C, Opelousas, La.","CHARLES W. CUMMINGS, CANDIDATE FOR OPELOUSAS CITY COUNCIL DISTRICT C",200,1
The Nature Conservancy in Florida,The Nature Conservancy,200,32
Aava Dental-Union,Aava Dental-Union,199,2
National Constitution Center,National Constitution Center,199,3
TMD Enterprises,TMD Enterprises,199,4
Alliance for Patient Access,Alliance for Patient Access,199,6
"Corbin Van Arsdale, Mayor of Cedar Park, Texas",Corbin Van Arsdale Campaign,199,2
Children's Advocacy Alliance Nevada,The Children's Advocacy Alliance,199,2
Conservatives Conserve,Conservatives Conserve,198,4
No Gonzales Hotel Sales Tax,Ascension Lodging,198,4
The Prosper Group,The Prosper Group,197,6
Mercy Home for Boys & Girls,Mercy Home for Boys & Girls,197,11
Habitat for Horses,Habitat for Horses,196,4
Patrio,Patrio App,196,2
WSECU,Washington State Employees Credit Union,196,3
18 Million Rising,18 Million Rising,196,2
Wander & Co.,Wander & Co.,196,2
Intentionally Vicarious,Todd Youngblood,196,4
Liberty United,Liberty UTD Inc.,196,6
Public Policy Office - Archdiocese of New York,the Archdiocese of New York,195,2
Seguros Florida,Joselyn Carolina Aranda,195,1
American Jewish World Service - AJWS,American Jewish World Service,195,52
I Hate Trump Book,Sandry Publishing,195,1
Choose Courage Foundation,Choose Courage Foundation,194,6
Finish The Ballot - Bossier Parish,Louisiana Economic Growth Committee,194,6
Union Gospel Mission Twin Cities,Union Gospel Mission Twin Cities,194,3
The Holdsworth Center,The Holdsworth Center,194,2
Reed Energy Consulting,Reed Energy Consulting,194,4
Andy Gipson for Mississippi,Friends of Andy Gipson,194,8
"Frank Scott, Jr.","Frank Scott, Jr. for Little Rock Mayor",194,4
GALEO.org,GALEO,193,2
The Law Office of Carolina C. Gomez,The Law Office of Carolina C. Gomez,192,2
ACLU of Texas,The ACLU of Texas,192,4
Freedom Motors,Freedom Motors,192,1
Mr. Colion Noir (@MrColionNoir),Colion Noir,191,6
Cleveland Zoological Society,Cleveland Zoological Society,191,1
Elephant Cooperation,Elephant Cooperation,190,2
New York Civil Liberties Union - NYCLU,New York Civl Liberties Union - NYCLU,190,7
Hotze Health,Hotze Health & Wellness Center,190,2
Heidi Tsuneyoshi Hawaii,Friends of Heidi Tsuneyoshi - P.O. Box 4176 Honolulu HI 96812,189,2
Unity Care NW,Unity Care NW,189,78
Your Bottle Means Jobs,South Carolina Department of Commerce,189,2
Sand Cloud,Sand Cloud,189,56
Higher Heights for America,Higher Heights,188,2
Crowned Free,Crowned Free,188,20
International Rhino Foundation,International Rhino Foundation,188,3
Natasha For District 1,Natasha Harper-Madison for Austin City Council District 1,187,4
Cup Of Joe For A Joe,Cup of Joe for a Joe,187,1
GLSEN,"GLSEN, working towards LGBTQ-inclusive K-12 schools.",186,4
City of Pompano Beach,Pompano Beach Parks & Rec,186,5
Michigan Association of Health Plans,the Michigan Association of Health Plans,186,2
Animal Adoption Center,Animal Adoption Center,186,1
Wisconsin State AFL-CIO,Wisconsin State AFL-CIO,185,5
Family First Immigration,FAMILY FIRST IMMIGRATION LLC,185,8
UCSB Arts & Lectures,UCSB Arts & Lectures,184,3
Trade Builds America,Americans for Prosperity,184,3
Sussex Goes Purple,Sussex County Health Coalition,184,8
Michigan Capitol Confidential,The Mackinac Center for Public Policy,183,11
Republic Financial,Republic Financial,183,3
"Dane Thibodeaux, Candidate, Breaux Bridge-District E",Dane Thibodeaux for District E,183,2
FrackFeed,Texans for Natural Gas,182,14
Blue Chip Insurance Triad,Blue Chip Health Insurance Triad,182,2
Col Rob Maness ret,Iron Liberty Group,182,3
Unite the People,"We the People Org, Inc.",182,4
Richard Harris for Mayor,Richard Harris for Mayor,182,4
Church for Israel,Church4Israel,181,1
New Jersey Firefighters PFANJ,Professional Firefighters Association of New Jersey,181,9
My Top Kickstarter Projects,These ads ran without a disclaimer,181,11
PL+US,PL+US: Paid Leave for the United States,181,2
MHAction.org,MHAction,180,16
"ElderCounsel, LLC","ElderCounsel, LLC",180,1
Dumps for Trump,Political Faux Paw,180,4
Musa-Obregon Law PC,Michael Musa-Obregón,180,9
Ryan For Ward 4,"Ryan For Ward 4: Christopher Smith, Treasurer.",180,1
PCCC - BoldProgressives.org,the Progressive Change Campaign Committee PAC and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,180,14
South Oakland Shelter,South Oakland Shelter (SOS),179,2
Robert Martwick,Friends of Robert Martwick,179,1
Public Citizens for Children and Youth (PCCY),Public Citizens for Children and Youth,178,12
Milken Educator Awards,the Milken Family Foundation,177,10
APAW,"True Science Holdings, LLC.",177,3
"Healthy Forests, Healthy Communities",These ads ran without a disclaimer,177,2
Assemblymember Adrin Nazarian,Nazarian for Assembly 2018 ID #1392480,176,1
The Nature Conservancy in California,Commonwise,176,33
Iowa Carry Safe,Iowa Carry Safe,176,1
Filtrol,Wex Companies,176,5
AARP Texas,AARP,176,2
Republican Party of SJCNM,Republican Party of San Juan County NM,175,4
Better Jobs New Mexico,Better Jobs NM,175,4
